Date,Day,Product,Category,Warehouse,Supplier,Promotion,Units_Sold,Current_Stock,Unit_Price,Cost_Price,Lead_Time_Days
2025-01-01,Wednesday,Laptop,Electronics,Mumbai,TechSource Pvt Ltd,False,18,866,65000,52000,7
2025-01-01,Wednesday,Smartphone,Electronics,Mumbai,TechSource Pvt Ltd,False,27,276,35000,28000,5
2025-01-01,Wednesday,Tablet,Electronics,Bengaluru,Global Electronics,False,22,271,25000,20000,6
2025-01-01,Wednesday,Keyboard,Accessories,Bengaluru,TechSource Pvt Ltd,False,20,342,1500,1000,3
2025-01-01,Wednesday,Mouse,Accessories,Bengaluru,Smart Distribution,True,39,299,800,500,2
2025-01-01,Wednesday,Monitor,Electronics,Mumbai,TechSource Pvt Ltd,True,22,304,12000,9000,5
2025-01-01,Wednesday,Printer,Office,Mumbai,Global Electronics,True,8,210,18000,14500,8
2025-01-01,Wednesday,Headphones,Accessories,Chennai,Prime Supply Co,False,41,277,3000,2200,4
2025-01-01,Wednesday,Router,Networking,Hyderabad,Rapid Logistics,False,37,160,4500,3200,4
2025-01-01,Wednesday,Webcam,Accessories,Delhi,TechSource Pvt Ltd,False,12,344,2500,1800,3
2025-01-02,Thursday,Laptop,Electronics,Bengaluru,Smart Distribution,False,13,294,65000,52000,7
2025-01-02,Thursday,Smartphone,Electronics,Mumbai,Prime Supply Co,False,49,161,35000,28000,5
2025-01-02,Thursday,Tablet,Electronics,Chennai,Rapid Logistics,True,15,61,25000,20000,6
2025-01-02,Thursday,Keyboard,Accessories,Mumbai,TechSource Pvt Ltd,True,50,205,1500,1000,3
2025-01-02,Thursday,Mouse,Accessories,Chennai,TechSource Pvt Ltd,False,39,106,800,500,2
2025-01-02,Thursday,Monitor,Electronics,Hyderabad,TechSource Pvt Ltd,False,6,29,12000,9000,5
2025-01-02,Thursday,Printer,Office,Bengaluru,Global Electronics,False,17,630,18000,14500,8
2025-01-02,Thursday,Headphones,Accessories,Hyderabad,Rapid Logistics,False,48,718,3000,2200,4
2025-01-02,Thursday,Router,Networking,Chennai,Prime Supply Co,False,21,189,4500,3200,4
2025-01-02,Thursday,Webcam,Accessories,Delhi,Prime Supply Co,True,15,93,2500,1800,3
2025-01-03,Friday,Laptop,Electronics,Delhi,Global Electronics,False,3,68,65000,52000,7
2025-01-03,Friday,Smartphone,Electronics,Hyderabad,Global Electronics,True,25,156,35000,28000,5
2025-01-03,Friday,Tablet,Electronics,Hyderabad,Global Electronics,False,12,206,25000,20000,6
2025-01-03,Friday,Keyboard,Accessories,Chennai,Prime Supply Co,False,46,625,1500,1000,3
2025-01-03,Friday,Mouse,Accessories,Delhi,Rapid Logistics,False,54,262,800,500,2
2025-01-03,Friday,Monitor,Electronics,Delhi,Rapid Logistics,False,22,282,12000,9000,5
2025-01-03,Friday,Printer,Office,Mumbai,TechSource Pvt Ltd,False,13,350,18000,14500,8
2025-01-03,Friday,Headphones,Accessories,Delhi,Global Electronics,False,30,333,3000,2200,4
2025-01-03,Friday,Router,Networking,Hyderabad,Rapid Logistics,True,35,156,4500,3200,4
2025-01-03,Friday,Webcam,Accessories,Bengaluru,Global Electronics,True,22,511,2500,1800,3
2025-01-04,Saturday,Laptop,Electronics,Chennai,Smart Distribution,False,15,231,65000,52000,7
2025-01-04,Saturday,Smartphone,Electronics,Bengaluru,Prime Supply Co,False,38,781,35000,28000,5
2025-01-04,Saturday,Tablet,Electronics,Bengaluru,Rapid Logistics,False,29,240,25000,20000,6
2025-01-04,Saturday,Keyboard,Accessories,Hyderabad,Prime Supply Co,False,29,632,1500,1000,3
2025-01-04,Saturday,Mouse,Accessories,Mumbai,Rapid Logistics,False,71,239,800,500,2
2025-01-04,Saturday,Monitor,Electronics,Mumbai,Prime Supply Co,False,19,67,12000,9000,5
2025-01-04,Saturday,Printer,Office,Chennai,Prime Supply Co,True,10,239,18000,14500,8
2025-01-04,Saturday,Headphones,Accessories,Hyderabad,Rapid Logistics,False,49,261,3000,2200,4
2025-01-04,Saturday,Router,Networking,Bengaluru,TechSource Pvt Ltd,False,13,170,4500,3200,4
2025-01-04,Saturday,Webcam,Accessories,Chennai,Prime Supply Co,False,25,325,2500,1800,3
2025-01-05,Sunday,Laptop,Electronics,Delhi,Smart Distribution,False,23,278,65000,52000,7
2025-01-05,Sunday,Smartphone,Electronics,Chennai,Rapid Logistics,False,50,205,35000,28000,5
2025-01-05,Sunday,Tablet,Electronics,Chennai,Global Electronics,False,22,299,25000,20000,6
2025-01-05,Sunday,Keyboard,Accessories,Delhi,Smart Distribution,False,33,210,1500,1000,3
2025-01-05,Sunday,Mouse,Accessories,Hyderabad,Smart Distribution,False,60,759,800,500,2
2025-01-05,Sunday,Monitor,Electronics,Mumbai,Global Electronics,False,16,327,12000,9000,5
2025-01-05,Sunday,Printer,Office,Chennai,TechSource Pvt Ltd,False,12,233,18000,14500,8
2025-01-05,Sunday,Headphones,Accessories,Delhi,Smart Distribution,False,79,349,3000,2200,4
2025-01-05,Sunday,Router,Networking,Mumbai,TechSource Pvt Ltd,False,24,684,4500,3200,4
2025-01-05,Sunday,Webcam,Accessories,Bengaluru,Global Electronics,False,29,181,2500,1800,3
2025-01-06,Monday,Laptop,Electronics,Hyderabad,TechSource Pvt Ltd,False,20,694,65000,52000,7
2025-01-06,Monday,Smartphone,Electronics,Hyderabad,Global Electronics,False,37,247,35000,28000,5
2025-01-06,Monday,Tablet,Electronics,Mumbai,TechSource Pvt Ltd,False,25,765,25000,20000,6
2025-01-06,Monday,Keyboard,Accessories,Bengaluru,Global Electronics,True,41,288,1500,1000,3
2025-01-06,Monday,Mouse,Accessories,Hyderabad,Rapid Logistics,False,36,238,800,500,2
2025-01-06,Monday,Monitor,Electronics,Bengaluru,Global Electronics,False,30,244,12000,9000,5
2025-01-06,Monday,Printer,Office,Hyderabad,Smart Distribution,False,5,720,18000,14500,8
2025-01-06,Monday,Headphones,Accessories,Chennai,Smart Distribution,False,68,181,3000,2200,4
2025-01-06,Monday,Router,Networking,Mumbai,Rapid Logistics,True,34,223,4500,3200,4
2025-01-06,Monday,Webcam,Accessories,Delhi,Rapid Logistics,True,9,275,2500,1800,3
2025-01-07,Tuesday,Laptop,Electronics,Chennai,Global Electronics,False,23,226,65000,52000,7
2025-01-07,Tuesday,Smartphone,Electronics,Delhi,TechSource Pvt Ltd,False,54,288,35000,28000,5
2025-01-07,Tuesday,Tablet,Electronics,Hyderabad,Smart Distribution,False,21,311,25000,20000,6
